 id  |        name        |                description                 |                                                                         effects                                                                         
-----+--------------------+--------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------
   1 | 체력 강화 I        | HP +50                                     | [{"stat": "vit", "type": "stat", "value": 5}]
   2 | 체력 강화 II       | HP +50                                     | [{"stat": "vit", "type": "stat", "value": 5}]
   3 | 체력 강화 III      | HP +50                                     | [{"stat": "vit", "type": "stat", "value": 5}]
   4 | 체력 강화 IV       | HP +50                                     | [{"stat": "vit", "type": "stat", "value": 5}]
   5 | 체력 강화 V        | HP +50                                     | [{"stat": "vit", "type": "stat", "value": 5}]
   6 | 체력 강화 VI       | HP +50                                     | [{"stat": "vit", "type": "stat", "value": 5}]
   7 | 방어 강화 I        | 방어력 +6                                  | [{"stat": "vit", "type": "stat", "value": 3}]
   8 | 방어 강화 II       | 방어력 +6                                  | [{"stat": "vit", "type": "stat", "value": 3}]
   9 | 방어 강화 III      | 방어력 +6                                  | [{"stat": "vit", "type": "stat", "value": 3}]
  10 | 방어 강화 IV       | 방어력 +6                                  | [{"stat": "vit", "type": "stat", "value": 3}]
  11 | 방어 강화 V        | 방어력 +6                                  | [{"stat": "vit", "type": "stat", "value": 3}]
  12 | 방어 강화 VI       | 방어력 +6                                  | [{"stat": "vit", "type": "stat", "value": 3}]
  13 | 신속 강화 I        | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
  14 | 신속 강화 II       | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
  15 | 신속 강화 III      | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
  16 | 신속 강화 IV       | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
  17 | 신속 강화 V        | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
  18 | 신속 강화 VI       | 스피드 +15                                 | [{"stat": "spd", "type": "stat", "value": 15}]
  19 | 힘 강화 I          | 공격력 +8                                  | [{"stat": "str", "type": "stat", "value": 4}]
  20 | 힘 강화 II         | 공격력 +8                                  | [{"stat": "str", "type": "stat", "value": 4}]
  21 | 힘 강화 III        | 공격력 +8                                  | [{"stat": "str", "type": "stat", "value": 4}]
  22 | 힘 강화 IV         | 공격력 +8                                  | [{"stat": "str", "type": "stat", "value": 4}]
  23 | 힘 강화 V          | 공격력 +8                                  | [{"stat": "str", "type": "stat", "value": 4}]
  24 | 힘 강화 VI         | 공격력 +8                                  | [{"stat": "str", "type": "stat", "value": 4}]
  25 | 치명 강화 I        | 치명타 확률 +1%                            | [{"stat": "cri", "type": "stat", "value": 1}]
  26 | 치명 강화 II       | 치명타 확률 +1%                            | [{"stat": "cri", "type": "stat", "value": 1}]
  27 | 치명 강화 III      | 치명타 확률 +1%                            | [{"stat": "cri", "type": "stat", "value": 1}]
  28 | 치명 피해 I        | 치명타 데미지 +3%                          | [{"key": "crit_damage", "type": "passive", "value": 3}]
  29 | 치명 피해 II       | 치명타 데미지 +3%                          | [{"key": "crit_damage", "type": "passive", "value": 3}]
  30 | 치명 피해 III      | 치명타 데미지 +3%                          | [{"key": "crit_damage", "type": "passive", "value": 3}]
  31 | 수호 본능          | HP 40% 이하 시 방어력 +25%                 | [{"key": "guard_instinct", "type": "passive", "value": 25}]
  32 | 철갑 돌파          | 적 방어력 무시 15%                         | [{"key": "armor_pierce", "type": "passive", "value": 15}]
  33 | 도트 저항          | 도트 저항 +15%                             | [{"key": "dot_resist", "type": "passive", "value": 15}]
  34 | HP 증강            | HP +200                                    | [{"stat": "vit", "type": "stat", "value": 20}]
  35 | 방어 증강          | 방어력 +25                                 | [{"stat": "vit", "type": "stat", "value": 12}]
  36 | 신속 증강          | 스피드 +60                                 | [{"stat": "spd", "type": "stat", "value": 60}]
  37 | 공격 증강          | 공격력 +30                                 | [{"stat": "str", "type": "stat", "value": 15}]
  38 | 치명 증강          | 치명타 확률 +1%                            | [{"stat": "cri", "type": "stat", "value": 1}]
  39 | 맹공 I             | 공격력 +8                                  | [{"stat": "str", "type": "stat", "value": 4}]
  40 | 맹공 II            | 공격력 +8                                  | [{"stat": "str", "type": "stat", "value": 4}]
  41 | 맹공 III           | 공격력 +8                                  | [{"stat": "str", "type": "stat", "value": 4}]
  42 | 맹공 IV            | 공격력 +8                                  | [{"stat": "str", "type": "stat", "value": 4}]
